"mthyr","country","price","year","month"
1996-11-01,"Denmark",65.9572,1996,11
1996-11-01,"France",72.1142,1996,11
1996-11-01,"Greece",121.3458,1996,11
1996-11-01,"Ireland",83.5726,1996,11
1996-11-01,"Italy",98.0505,1996,11
1996-11-01,"Netherlands",73.8965,1996,11
1996-11-01,"Spain",95.5455,1996,11
1996-12-01,"Belgium",68.7754,1996,12
1996-12-01,"Denmark",65.9903,1996,12
1996-12-01,"France",71.7121,1996,12
1996-12-01,"Greece",119.8169,1996,12
1996-12-01,"Ireland",85.3828,1996,12
1996-12-01,"Italy",100.206,1996,12
1996-12-01,"Netherlands",73.0394,1996,12
1996-12-01,"Spain",89.3621,1996,12
1997-01-01,"Belgium",80.8627,1997,1
1997-01-01,"Denmark",65.898,1997,1
1997-01-01,"France",71.5227,1997,1
1997-01-01,"Greece",121.274,1997,1
1997-01-01,"Ireland",86.4881,1997,1
1997-01-01,"Italy",92.0256,1997,1
1997-01-01,"Netherlands",72.4384,1997,1
1997-01-01,"Spain",83.6534,1997,1
1997-02-01,"Belgium",88.7394,1997,2
1997-02-01,"Denmark",65.803,1997,2
1997-02-01,"France",71.4558,1997,2
1997-02-01,"Greece",120.2794,1997,2
1997-02-01,"Ireland",87.5924,1997,2
1997-02-01,"Italy",82.9661,1997,2
1997-02-01,"Netherlands",71.8863,1997,2
1997-02-01,"Spain",85.9166,1997,2
1997-03-01,"Belgium",89.1549,1997,3
1997-03-01,"Denmark",66.5256,1997,3
1997-03-01,"France",71.8954,1997,3
1997-03-01,"Greece",120.3004,1997,3
1997-03-01,"Ireland",87.5084,1997,3
1997-03-01,"Italy",89.342,1997,3
1997-03-01,"Netherlands",72.6784,1997,3
1997-03-01,"Spain",80.9622,1997,3
1997-04-01,"Belgium",75.4708,1997,4
1997-04-01,"Denmark",67.0122,1997,4
1997-04-01,"France",72.3322,1997,4
1997-04-01,"Greece",119.2551,1997,4
1997-04-01,"Ireland",87.174,1997,4
1997-04-01,"Italy",83.9915,1997,4
1997-04-01,"Netherlands",72.8534,1997,4
1997-04-01,"Spain",81.2172,1997,4
1997-05-01,"Belgium",81.3906,1997,5
1997-05-01,"Denmark",67.0808,1997,5
1997-05-01,"France",72.8596,1997,5
1997-05-01,"Greece",117.6066,1997,5
1997-05-01,"Ireland",84.7503,1997,5
1997-05-01,"Italy",95.786,1997,5
1997-05-01,"Netherlands",73.3304,1997,5
1997-05-01,"Spain",82.1768,1997,5
1997-06-01,"Belgium",92.2449,1997,6
1997-06-01,"Denmark",66.8852,1997,6
1997-06-01,"France",73.331,1997,6
1997-06-01,"Greece",118.086,1997,6
1997-06-01,"Ireland",85.0597,1997,6
1997-06-01,"Italy",93.104,1997,6
1997-06-01,"Netherlands",73.5112,1997,6
1997-06-01,"Spain",76.1875,1997,6
1997-07-01,"Belgium",78.5828,1997,7
1997-07-01,"Denmark",66.3441,1997,7
1997-07-01,"France",72.7996,1997,7
1997-07-01,"Greece",119.0076,1997,7
1997-07-01,"Ireland",86.9183,1997,7
1997-07-01,"Italy",109.313,1997,7
1997-07-01,"Netherlands",73.2973,1997,7
1997-07-01,"Spain",80.8493,1997,7
1997-08-01,"Belgium",85.8464,1997,8
1997-08-01,"Denmark",66.4727,1997,8
1997-08-01,"France",72.5627,1997,8
1997-08-01,"Greece",119.4851,1997,8
1997-08-01,"Ireland",86.2076,1997,8
1997-08-01,"Italy",107.9292,1997,8
1997-08-01,"Netherlands",73.8597,1997,8
1997-08-01,"Spain",91.3331,1997,8
1997-09-01,"Belgium",84.9323,1997,9
1997-09-01,"Denmark",66.7337,1997,9
1997-09-01,"France",72.7299,1997,9
1997-09-01,"Greece",120.6782,1997,9
1997-09-01,"Ireland",87.0249,1997,9
1997-09-01,"Italy",105.7055,1997,9
1997-09-01,"Netherlands",74.1148,1997,9
1997-09-01,"Spain",96.9854,1997,9
1997-10-01,"Belgium",75.1428,1997,10
1997-10-01,"Denmark",66.7363,1997,10
1997-10-01,"France",72.3676,1997,10
1997-10-01,"Greece",120.5083,1997,10
1997-10-01,"Ireland",84.8447,1997,10
1997-10-01,"Italy",100.6283,1997,10
1997-10-01,"Netherlands",73.6663,1997,10
1997-10-01,"Spain",84.4795,1997,10
1997-11-01,"Belgium",71.2354,1997,11
1997-11-01,"Denmark",66.5567,1997,11
1997-11-01,"France",72.1145,1997,11
1997-11-01,"Greece",121.6739,1997,11
1997-11-01,"Ireland",85.352,1997,11
1997-11-01,"Italy",88.0963,1997,11
1997-11-01,"Netherlands",72.142,1997,11
1997-11-01,"Spain",78.4852,1997,11
1997-12-01,"Belgium",64.5174,1997,12
1997-12-01,"Denmark",66.4358,1997,12
1997-12-01,"France",71.9535,1997,12
1997-12-01,"Greece",121.7579,1997,12
1997-12-01,"Ireland",84.7719,1997,12
1997-12-01,"Italy",93.1136,1997,12
1997-12-01,"Netherlands",71.2249,1997,12
1997-12-01,"Spain",76.3829,1997,12
1998-01-01,"Belgium",70.241,1998,1
1998-01-01,"Denmark",64.7131,1998,1
1998-01-01,"France",71.8925,1998,1
1998-01-01,"Greece",121.9564,1998,1
1998-01-01,"Ireland",81.6718,1998,1
1998-01-01,"Italy",80.0394,1998,1
1998-01-01,"Netherlands",70.061,1998,1
1998-01-01,"Spain",75.4446,1998,1
1998-02-01,"Belgium",76.6642,1998,2
1998-02-01,"Denmark",64.6958,1998,2
1998-02-01,"France",71.5935,1998,2
1998-02-01,"Greece",120.9678,1998,2
1998-02-01,"Ireland",81.2303,1998,2
1998-02-01,"Italy",75.3696,1998,2
1998-02-01,"Netherlands",69.1738,1998,2
1998-02-01,"Spain",77.8034,1998,2
1998-03-01,"Belgium",76.2051,1998,3
1998-03-01,"Denmark",64.5194,1998,3
1998-03-01,"France",71.3586,1998,3
